BankArgentina,Bank Transfer (Argentina),bank
BankBrazil,Bank Transfer (Brazil),bank
ItauBrazil,Itaú Brazil,bank
Hype,Hype,bank
N26,N26,bank
Monzo,Monzo,bank
StarlingBank,Starling Bank,bank
Bunq,Bunq,bank
OKSO,OSKO,web-wallet
BancoPlaza,Banco Plaza,bank
TuDineroYa,Tu Dinero Ya (Banco Plaza),web-wallet
AsiaUnitedBank,Asia United Bank,bank
TDbank,TD Bank,bank
RBCRoyalbank,RBC Royal Bank,bank
BMObank,BMO,bank
CIBCbank,CIBC,bank
Tangerinebank,Tangerine bank,bank
EQbank,EQ Bank,bank
DCbank,DCBank,bank
WavePay1,WavePay,web-wallet
WingMoney,Wing Money,web-wallet
KBZPay1,KBZPay,web-wallet
TeleBirr,Tele Birr,web-wallet
CBEBirr,CBE Birr,web-wallet
Abyssinia,Abyssinia,bank
Awash,Awash,bank
Dashen,Dashen,bank
CBE,CBE,bank
Sberbank,Sberbank,bank
Oschadbank,Oschadbank,bank
Tinkoff,Tinkoff,bank
AlfaBank,Alfa-bank,bank
VTBBank,VTB Bank,bank
GazpromBank,Gazprombank,bank
CreditMoscow,Credit Bank of Moscow,bank
KaspiBank,Kaspi Bank,bank
HalykBank,Halyk Bank,bank
ForteBank,ForteBank,bank
SBP,SBP - Fast Bank Transfer,bank
Mir,Mir,bank
MTSBank,MTS-Bank,bank
OtkritieBank,Otkritie,bank
OTPBankRussia,OTP,bank
PostBankRussia,Post Bank,bank
RaiffeisenBankRussia,Raiffeisenbank,bank
RosBank,Rosbank,bank
RosselkhozBank,Rosselkhozbank,bank
RussianStandardBank,Russian Standard Bank,bank
CitibankRussia,Citibank (Russia),bank
SovkomBank,Sovkombank,bank
TrustBankRussia,Trust,bank
UniCreditRussia,UniCredit,bank
Rocketbank,Rocketbank,bank
PrivatBank,Privat Bank,bank
Monobank,Monobank,bank
PUMBBank,PUMB,bank
BancolombiaSA,Bancolombia S.A,bank
DaviviendaSA,Davivienda S.A,bank
BancodeBogota,Banco de Bogota,bank
BBVABank,BBVA,bank
WesternDiscountBank,Western Discount Bank,bank
MercantilBankPanama,Mercantil Bank Panama,bank
BancoGeneralPanama,Banco General Panama,bank
BanistmoPanama,Banistmo Panama,bank
BancoBrubank,Banco Brubank,bank
Mony,Mony,bank
AirTM,AirTM,web-wallet
Uphold,Uphold,web-wallet
Uala,Uala,bank
Daviplata,Daviplata,bank
Efecty,Efecty,cash
BancoPichincha,Banco Pichincha,bank
Produbanco,Produbanco,bank
BancoGuayaquil,Banco Guayaquil,bank
KuveytTurk,Kuveyt Turk,bank
BankofAmerica,Bank of America,bank
Bancamiga,Bancamiga,bank
BancoGanadero,Banco Ganadero,bank
TigoMoney,Tigo Money,web-wallet
BancoUnion,Banco Union,bank
BancoEstado,Banco Estado,bank
BancoFassil,Banco Fassil,bank
BancoItauParaguay,Banco Itau Paraguay,bank
BancoContinentalPar,Banco Continental Paraguay,bank
BancoGNBParaguay,Banco GNB Paraguay,bank
BancodeChile,Banco de Chile,bank
ItauUruguay,Itaú Uruguay,bank
BancoSantanderChile,Banco Santander Chile,bank
BBVAUruguay,BBVA Uruguay,bank
ScotiabankUruguay,Scotiabank Uruguay,bank
SantanderUrug,Banco Santander Uruguay,bank
Zelle,Zelle,web-wallet
BandesUruguay,Bandes Uruguay,bank
Prex,Prex,bank
BankRepublicUruguay,Bank of the Republic of Uruguay,bank
Yape,Yape,web-wallet
Plin,Plin,web-wallet
STP,STP,bank
Movii,Movii,credit-card
OXXO,OXXO,cash
Paynet,Paynet,cash
CreditBankofPeru,Credit Bank of Peru,bank
ScotiabankPeru,Scotiabank Peru,bank
ScotiabankColpatria,Scotiabank Colpatria,bank
Interbank,Interbank,bank
ScotiabankPanama,Scotiabank Panama,bank
BACCredomatic,BAC Credomatic,bank
Pix,Pix,web-wallet
Payall,Payall,web-wallet
Paysend,Paysend.com,bank
CSOB,ČSOB,bank
mBank,mBank,bank
Ceskasporitelna,Česká spořitelna,bank
Fiobanka,Fio banka,bank
MONETAMoneyBank,MONETA Money Bank,bank
SocieteGenerale,Societe Generale,bank
CreditAgricole,Credit Agricole,bank
BNPParibas,BNP Paribas,bank
LaBanquepostale,La Banque postale,bank
Caissedepargne,Caisse d′Epargne,bank
LloydsBank,Lloyds Bank,bank
ING,ING,bank
UniCreditEU,UniCredit,bank
MoneyGram,Moneygram,cash
CashU,CashU,web-wallet
ShopeePay,ShopeePay-SEA,web-wallet
CentralBankofUruguay,Central Bank of Uruguay,bank
ShopeeTW,Shopee (Taiwan),web-wallet
CenterCreditBank,CenterCredit Bank,bank
HomeCreditKazakhstan,Home Credit Kazakhstan,bank
